"tumor tissue (adnexa, omentum, peritoneum, bowel, ascites, and other intra-pe...",other
"tissue","category"
"1st molar tooth","other"
"2-cell embryo","embryo"
"2nd molar tooth","other"
"3D culture","other"
"3D culture in RGF BME","other"
"8990_TBR1_S9_L003","other"
"8th section of the small intestine","small intestine"
"ALI culture of tracheal aspirate derived airway basal stem cells","respiratory system"
"Abdominal adhesion tissue","abdomen"
"Acute slice culture of glioma resection","brain"
"Adipose Tissue","adipose tissue"
"Adrenal-Gland","adrenal gland"
"Adult Ovary Tissue","ovary"
"Adult Ovary Tissue, Follicle 2-5mm","ovary"
"Adult Ovary Tissue, Stroma","ovary"
"Adult human heart","heart"
"Adult midbrain","brain"
"Adult mouse ILC progenitors from femur","bone marrow"
"Adult mouse ILC progenitors harvested from femur","bone marrow"
"Amnion","placenta"
"Amygdala","brain"
"Aorta","vasculature"
"Aortic root","vasculature"
"Apex of the heart","heart"
"Apical region of left ventricle","heart"
"Arcuate-Median Eminence","brain"
"Area postrema and nucleus tractus solitarius","brain"
"Ascitic fluid","other"
"Atrioventricular node","heart"
"Atrioventricular node, left cardiac atrium","heart"
"Auditory (AUD)","sensory system"
"Auditory Cortex","brain"
"B-cell","immune system"
"B-cells","immune system"
"B-cells (CVID naive B-cell)","immune system"
"B-lymphocyte","immune system"
"B-lymphocyte, Peripheral Blood","blood"
"B16-OVA tumor","skin of body"
"BALF cells (Bronchoalveolar Lavage Fluid)","lung"
"BALF cells (Bronchoalveolar lavage fluid)","lung"
"BALF cells (bronchoalveolar lavage fluid cells)","lung"
"BLA (Basolateral Amygdala)","brain"
"BVSC","other"
"Basolateral amygdala","brain"
"Blastocyst","embryo"
"Blastoids and day 8 blastocysts","embryo"
"Blood, Spleen, Liver, Lung, Heart","other"
"Blood-derived leukocytes","blood"
"Blood; antigen-specific B lymphocytes from PBMC","blood"
"Bone Marrow (BM)","bone marrow"
"Bone Marrow 180d post treatment (M27)","bone marrow"
"Bone Marrow 30d post treatment (M29)","bone marrow"
"Bone Marrow 360d post treatment (T55)","bone marrow"
"Bone Marrow 90d post treatment (M88)","bone marrow"
"Bone Marrow Baseline (T53)","bone marrow"
"Bone Marrow from AML PDXs","bone marrow"
"Bone Marrow-Derived Macrophages (BMDM)","bone marrow"
"Bone marrow, Thymus","bone marrow"
"Bone marrow-derived macrophages","bone marrow"
"Brain (Cerebral organoid)","brain"
"Brain (Cerebral organoids)","brain"
"Brain (cerebral organoids)","brain"
"Brain (from cerebral organoid)","brain"
"Brain (from cerebral organoids)","brain"
"Brain - Central Amygdala","brain"
"Brain, Ventricular-Subventricular zone","brain"
"Brain, cerebral organoid","brain"
"Brain-Nucleus accumbens core (NAcc)","brain"
"Brain; PFC (Prefrontal Cortex); Expressing scFLARE2 + TRE-mCherry-p2a-bReaChES","brain"
"Breast (normal mammary gland)","breast"
"Breast, normal mammary gland","breast"
"Brodmann area 6","brain"
"Bronchial AEC","respiratory system"
"Bronchial AEC (Airway Epithelial Cells)","respiratory system"
"Bronchiole","lung"
"Bronchoalveolar Lavage (BAL) cells","lung"
"Bronchoalveolar Lavage Fluid (BALF)","lung"
"Bronchoalveolar Lavage Fluid (BALF) cells","lung"
"Bronchoalveolar lavage (BAL) cells","lung"
"Bronchoalveolar lavage fluid (BALF cells)","lung"
"Bronchus","respiratory system"
"Buccal","mucosa"
"Bulk_TILs_replica_1_tumor","immune system"
"C11 (human induced pluripotent stem cells)","other"
"CA1","brain"
"CA1 (hippocampus)","brain"
"CA1 (part of the hippocampus)","brain"
"CD14+ cells from peripheral blood mononuclear cells","blood"
"CD3+ T cells from bone marrow","bone marrow"
"CD34 cells differentiated down erythroid lineage","bone marrow"
"CD4 T cells","immune system"
"CD4+ T cells (isolated from peripheral blood)","blood"
"CD4+ cells","immune system"
"CD45+ (Lineage positive) WBC","blood"
"CD45+ (Lineage positive) White Blood Cells (WBC)","blood"
"CD45+ cells from subcutaneous CT26 tumor","immune system"
"CD45+ cells from tumor","immune system"
"CD45+ immune cells from brain parenchyma","immune system"
"CD45+ live cells from visceral white adipose tissue (vWAT)","adipose tissue"
"CD45- (Lineage Negative) WBC","blood"
"CD45- (Lineage Negative) White Blood Cells (WBC)","blood"
"CD8+ OT1 T cells","immune system"
"CD8+ T cells (sorted from tumors)","immune system"
"CD8+ T cells from Bone Marrow","bone marrow"
"CD8+ tissue-resident memory (TRM) cells","immune system"
"CLA (Cortex Layer Anterior)","brain"
"CMM (Cardiac Mesenchymal Cells)","heart"
"CMM (Cardiac Muscle Mass)","heart"
"CMM (Cardiac Myocyte-like cells)","heart"
"CN7 e10.5 GFP-positive and negative","peripheral nervous system"
"CSF (Cerebrospinal Fluid) cells","central nervous system"
"CSF leukocytes","central nervous system"
"CVID memory switched b-cell","immune system"
"CVID memory unswitched B-cell","immune system"
"CVID memory unswitched b-cell","immune system"
"CVID naïve B-cell","immune system"
"CVID naïve b-cell","immune system"
"Caecum (Colon tissue)","colon"
"Caecum (colon tissue)","colon"
"Caecum, Colon","colon"
"Caecum, Transverse colon, Sigmoid colon, Mesenteric lymph nodes","large intestine"
"Calu3 cell line","respiratory system"
"Calu3 cells","respiratory system"
"Calu3 cells (lung epithelial cell line)","lung"
"Calu3 cells (lung epithelial cells)","lung"
"Calu3 cells (lung)","lung"
"Cardiac Mesenchymal Cells","heart"
"Central amygdala","brain"
"Central gray substance of midbrain","brain"
"Central gray substance of midbrain (Periaqueductal gray neurons)","brain"
"Central gray substance of midbrain (periaqueductal gray)","brain"
"Cephalic vein","vasculature"
"Cerebellar Nestin-expressing progenitors","brain"
"Cerebral hemisphere","brain"
"Cerebral organoids","brain"
"Cerebrum","brain"
"Choroid plexus (CP)","brain"
"Ciliary body, Left Eye","eye"
"Circulating Tumor Cells (CTCs)","blood"
"Colon","colon"
"Cornea (Left Eye)","eye"
"Corpus cavernosum","reproductive system"
"Cortex (Ctx1)","brain"
"Cortex (FACS-purified)","brain"
"Cortex and hippocampal formation","brain"
"Costal-cartilage-derived stem cells (CDSCs)","skeletal system"
"Cotyledon","placenta"
"Cryopreserved PBMC","blood"
"Ctx1 (Cortex)","brain"
"Ctx1.5","brain"
"Ctx2","brain"
"Ctx3","brain"
"Ctx3 (Cortex)","brain"
"Cultured-Cell-from-PSC","other"
"D-LN","lymph node"
"D-LN (Dendritic Lymph Node)","lymph node"
"D-LN (Dendritic Lymph Nodes)","lymph node"
"D-LN (Dendritic cells from duodenal lymph nodes)","lymph node"
"D-LN (Dorsal Lymph Node)","lymph node"
"D-LN (Duodenal Lymph Node)","lymph node"
"D-LN (Duodenal Lymph Node), Gut tissue","lymph node"
"D-LN (Duodenal Lymph Nodes)","lymph node"
"DVC (Dorsal Vagal Complex)","brain"
"Dendritic Lymph Nodes (D-LN)","lymph node"
"Dentate Gyrus","brain"
"Dermal fibroblasts","skin of body"
"Dermal fibroblasts (Skin)","skin of body"
"Dermal fibroblasts (skin)","skin of body"
"Dermis (skin)","skin of body"
"Distal Colon","colon"
"Dorsal Vagal Complex (DVC)","brain"
"Dorsal root ganglion (DRG)","peripheral nervous system"
"Dorsal root ganglion neuron","peripheral nervous system"
"Dorsal skin wound","skin of body"
"Dorsolateral Prefrontal Cortex","brain"
"Dorsolateral Prefrontal Cortex (Brodmann area 46)","brain"
"Dorsolateral Prefrontal cortex (Brodmann area 46)","brain"
"Dorsolateral prefrontal cortex","brain"
"Duodenal Lymph Node (D-LN)","lymph node"
"Duodenal Lymph Nodes","lymph node"
"Duodenal Lymph Nodes (D-LN)","lymph node"
"Duodenum","small intestine"
"E10.5 anterior PGC migratory niche","embryo"
"E10.5 posterior PGC migratory niche","embryo"
"E11.5 PGC migratory niche / AGM","embryo"
"E13.5 eye peripheral retina","eye"
"E13.5 mouse tissue","embryo"
"E54 Frontal","embryo"
"E9.5 anterior PGC migratory niche","embryo"
"E9.5 posterior PGC migratory niche","embryo"
"EMT6 tumor","breast"
"EMT6 tumors","breast"
"ENCC (Enteric Neural Crest Cells)","peripheral nervous system"
"ENS","peripheral nervous system"
"ENS (Enteric Nervous System)","peripheral nervous system"
"ENS (enteric nervous system)","peripheral nervous system"
"ES (Embryonic Stem)","embryo"
"ESC-derived distal lung epithelium","lung"
"ESC-derived lung epithelium","lung"
"ESC-derived lung epithelium and iPSC-derived lung mesenchyme","lung"
"ESC-derived tip-like cells","other"
"Embryo","embryo"
"Embryonic day 6.5","embryo"
"Embryonic disc","embryo"
"Embryonic structure","embryo"
"Embryonic structure (Embryo at the 8-cell stage)","embryo"
"Engineered Heart Muscle","heart"
"Epiblast and amnion spheroids","embryo"
"Epicardial Adipose Tissue","adipose tissue"
"Epithelium of circumvallate/von Ebner's gland (vEG)","tongue"
"Expanded ILC2s from PBMC-derived ILC2s","immune system"
"FACS-sorted microglia","brain"
"Feces","digestive system"
"Female brain section containing the medial hypothalamus","brain"
"Fetal Small Intestine","small intestine"
"Fetal brain (Inferior Parietal Cortex)","brain"
"Fetal brain (Ventrolateral Frontal Cortex)","brain"
"Fetal brain, Dorsolateral Frontal Cortex","brain"
"Fetal brain, Dorsolateral prefrontal cortex","brain"
"Fetal brain, Inferior Parietal Cortex","brain"
"Fetal brain, Orbitofrontal Cortex (OFC)","brain"
"Filamentous conceptus","embryo"
"Fovea retina","eye"
"Frontal cortex neurons","brain"
"GBM and adjacent brain tissue","brain"
"GBM centre","brain"
"GBM neurospheres","brain"
"GBM surround","brain"
"GEMM, PbCre_Pten/Rb 47 Weeks","other"
"GINS grafts under mouse renal capsule","kidney"
"GL261 tumor","brain"
"GP muscle","musculature"
"Gastrocnemius-plantaris (GP) muscle","musculature"
"Ghost Matrigel Plugs","other"
"Gingival tissue, peritoneal washes","mucosa"
"Gland","exocrine gland"
"Glioblastoma organoid","brain"
"Glioblastoma tissue","brain"
"Glioma surgical specimen","brain"
"H1 cells, PSC to definitive endoderm","other"
"H1 hESC (Human Embryonic Stem Cells)","embryo"
"H1 hESC, Day 11 of differentiation","embryo"
"H1299 cell line","lung"
"H1299 cell line (lung cancer)","lung"
"H1299 cells","lung"
"H1299 cells (lung cancer cell line)","lung"
"H1299 cells (lung cancer)","lung"
"H9 (Embryonic Stem Cell)","embryo"
"H9 hPSC","embryo"
"H9 human embryonic stem cells","embryo"
"HCC cell line","liver"
"HCT116","colon"
"HCT116 cell line","colon"
"HEK293T cells","kidney"
"HMLER","breast"
"HMPOS cell line","skeletal system"
"HPG axis-related tissues","other"
"HeLa cells","reproductive system"
"Healthy memory switched B-cell","immune system"
"Healthy memory switched B-cell, Memory B-cell","immune system"
"Healthy memory unswitched B-cell","immune system"
"Healthy naïve B-cell","immune system"
"Hidradenitis suppurativa lesional skin - Dermis","skin of body"
"Hippocampal Intermediate Progenitors (Day 1)","brain"
"Hippocampal Intermediate Progenitors (Day 2)","brain"
"Hippocampal Intermediate Progenitors (Day 3)","brain"
"Hippocampal Intermediate Progenitors (Day 5)","brain"
"Hippocampi","brain"
"Human Dermal Cells","skin of body"
"Human ES Cell Line","embryo"
"Human ES-derived DA neuron","brain"
"Human Engineered Heart Muscle","heart"
"Human Kidney Cortex","kidney"
"Human Kidney Cortex - DN2","kidney"
"Human Kidney Cortex - DN5","kidney"
"Human Kidney Cortex - DN7","kidney"
"Human Mediastinal LN 10L","lymph node"
"Human Mediastinal LN 10R","lymph node"
"Human Mediastinal LN 12R","lymph node"
"Human Mediastinal LN 4R","lymph node"
"Human Tumor Tissue","other"
"Human bronchial epithelial cells (HBECs)","respiratory system"
"Human epithelial tracheal, cultured","respiratory system"
"Human fetal DRG","peripheral nervous system"
"Human prostate basal epithelia","prostate gland"
"Human prostate fibromuscular stroma","prostate gland"
"Human prostate luminal epithelia","prostate gland"
"Human prostate transition zone","prostate gland"
"I1DN cKit+ Cd11b- cells","immune system"
"ICx_Posterior_Lateral_L5","brain"
"ILC progenitors","immune system"
"ILC progenitors from adult mouse femur","bone marrow"
"ILC progenitors from femur","bone marrow"
"ILC2 (Innate Lymphoid Cells type 2)","immune system"
"ILC2 cells","immune system"
"ILC2 from femur","bone marrow"
"ILCs from blood","blood"
"ILCs from blood and bone marrow","immune system"
"Ileal tissue","small intestine"
"Induced Pluripotent Stem Cells (iPSCs)","other"
"Infarct zone","heart"
"Inguinal WAT","adipose tissue"
"Inner cell mass","embryo"
"Inner cell mass, Embryo","embryo"
"Interventricular septum","heart"
"Invasive ductal breast carcinoma","breast"
"Iris","eye"
"Islet cells","pancreas"
"Isolated root tip cells","other"
"Isolated single cells from normal human islets","pancreas"
"Isolated single cells from type-2 diabetes human islets","pancreas"
"K562 cells","bone marrow"
"Kidney Cortex","kidney"
"Kidney Cortex - DN3","kidney"
"Kidney Cortex / Medulla","kidney"
"Kidney Medulla","kidney"
"Kidney cross-section","kidney"
"LLC tumour","other"
"LN (Lymph Node)","immune system"
"LNI-DDRR-nosupplements","other"
"Lamina propria of colon and matching mesenteric lymph nodes","immune system"
"Lamina propria of colon and mesenteric lymph nodes","immune system"
"Lamina propria of colon, Mesenteric lymph nodes","immune system"
"Lateral Septum","brain"
"Left Eye (Cornea sclera wedge)","eye"
"Left Eye (Iris)","eye"
"Left Eye (Macula)","eye"
"Left ventricle region 1B","heart"
"Left ventricle region 2B","heart"
"Left ventricle region 3B","heart"
"Lin-Kit+ cells","other"
"Locus coeruleus","brain"
"Longus dorsi muscles","musculature"
"Lung, bronchoalveolar lavage fluid","lung"
"Lymph Node (LN)","immune system"
"Lymph nodes (inguinal, axillary, and brachial)","immune system"
"M cells from Peyer's patches","small intestine"
"MB - IC (Midbrain - Intercalated)","brain"
"MB - MRN-CUN-RN-RR-PPN-PRT","other"
"MB_RN","other"
"MB_RN (brain region related to spinal projecting neurons)","brain"
"MC38 murine colon carcinoma","colon"
"MCF7 (breast cancer cell line)","breast"
"MDCK cell","kidney"
"MII oocyte","other"
"MII oocytes and 2-cell embryos","embryo"
"MOs_FRP","other"
"MY_GRN_PRN_LC","other"
"Male brain section containing the medial hypothalamus","brain"
"Mammary Gland","breast"
"Mammary Gland / Mammary T cells","immune system"
"Mammary T cells","immune system"
"Mammary gland","breast"
"Mammary tissue","breast"
"Marjolin ulcer","skin of body"
"Mediastinal Lymph Node","immune system"
"Medulla","other"
"Meibomian gland","eye"
"Memory B-cell","immune system"
"Memory B-cell (CVID memory unswitched B-cell)","immune system"
"Mesenteric artery - small (< 150 um)","vasculature"
"Mesenteric lymph node, Colon (lamina propria)","immune system"
"Mesenteric lymph node, Lamina propria of colon","immune system"
"Mesenteric lymph node, caecum, transverse colon, sigmoid colon","immune system"
"Mesenteric lymph node, colon (lamina propria)","immune system"
"Metastatic CRPC Biopsy","other"
"MidbrainDorsal","brain"
"MidbrainVentral","brain"
"Mix of L-cells and HEK293T cells","other"
"Mouse E13.5","embryo"
"Mouse Müller glia (cultured in vitro)","eye"
"Mouse tracheal epithelial cells","other"
"Mucosa of the small intestine of wild type C57 mouse","intestine"
"Murine C57BL/6 ovarian surface epithelium","other"
"Myocardium","heart"
"Müller glia in vitro","eye"
"N/A","other"
"NAc (Nucleus Accumbens) nuclei","brain"
"NAc nuclei","other"
